X  C  CA X  4 14.50 180.0 2.0
X  C  CB X  4 12.00 180.0 2.0
X  C  CM X  4 8.700 180.0 2.0
X  C  CT X  4 0.000 0.000 2.0
X  C  N  X  4 10.00 180.0 2.0
X  C  N_ X  4 5.800 180.0 2.0
X  C  NA X  4 5.400 180.0 2.0
X  C  NC X  2 8.000 180.0 2.0
X  C  OH X  2 1.800 180.0 2.0
X  C_ CB X  4 6.700 180.0 2.0
X  C_ CT X  6 0.000 0.000 2.0
X  C_ CW X  4 26.10 180.0 2.0
X  CA CA X  4 14.50 180.0 2.0
X  CA CB X  4 14.00 180.0 2.0
X  CA CM X  4 10.20 180.0 2.0
X  CA CN X  4 14.50 180.0 2.0
X  CA CT X  6 0.000 0.000 2.0
X  CA N2 X  4 9.600 180.0 2.0
X  CA NA X  4 6.000 180.0 2.0
X  CA NC X  2 9.600 180.0 2.0
X  CB CB X  4 21.80 180.0 2.0
X  CB CN X  4 12.00 180.0 2.0
X  CB N_ X  4 6.600 180.0 2.0
X  CB NB X  2 5.100 180.0 2.0
X  CB NC X  2 8.300 180.0 2.0
X  CC CT X  6 0.000 0.000 2.0
X  CC CV X  4 20.60 180.0 2.0
X  CC CW X  4 21.50 180.0 2.0
X  CC NA X  4 5.600 180.0 2.0
X  CC NB X  2 4.800 180.0 2.0
X  CK N_ X  4 6.800 180.0 2.0
X  CK NB X  2 20.00 180.0 2.0
X  CM CM X  4 26.60 180.0 2.0
X  CM CT X  6 0.000 0.000 3.0
X  CM N_ X  4 7.400 180.0 2.0
X  CN NA X  4 6.100 180.0 2.0
X  CQ NC X  2 13.60 180.0 2.0
X  CR NA X  4 9.300 180.0 2.0
X  CR NB X  2 10.00 180.0 2.0
X  CT CT X  9 1.400 0.000 3.0
X  CT N  X  6 0.000 0.000 2.0
X  CT N_ X  6 0.000 0.000 2.0
X  CT N2 X  6 0.000 0.000 3.0
X  CT N3 X  9 1.400 0.000 3.0
X  CT OH X  3 0.500 0.000 3.0
X  CT OS X  3 1.150 0.000 3.0
X  CT S  X  3 1.000 0.000 3.0
X  CT SH X  3 0.750 0.000 3.0
X  CV NB X  2 4.800 180.0 2.0
X  CW NA X  4 6.000 180.0 2.0
X  OH P  X  3 0.750 0.000 3.0
X  OS P  X  3 0.750 0.000 3.0
C  N  CT C  1 0.850 000.0 1.0
C  N  CT C  1 0.300 180.0 -2.0
CT CT C  N  1 0.000 180.0 1.0
CT CT C  N  1 0.070 0.000 -2.0
CT CT C  N  1 0.000 0.000 -3.0
CT CT C  N  1 0.100 0.000 -4.0
CT CT N  C  1 0.530 0.000 1.0
CT CT N  C  1 0.000 180.0 -2.0
CT CT N  C  1 0.150 180.0 -3.0
CT CT N  C  1 0.500 180.0 -4.0
CT CT OS CT 1 0.100 180.0 2.0
CT CT OS CT 1 0.383 0.000 -3.0
CT S  S  CT 1 0.600 0.000 3.0
CT S  S  CT 1 3.500 0.000 -2.0
H  N  C  O  1 2.000 0.000 1.0
H  N  C  O  1 2.500 180.0 -2.0
N  CT C  N  1 0.850 000.0 1.0
N  CT C  N  1 0.300 180.0 -2.0
OH CT CT OH 1 1.000 0.000 2.0
OH CT CT OH 1 0.144 0.000 -3.0
OH P  OS CT 1 1.200 0.000 2.0
OH P  OS CT 1 0.250 0.000 -3.0
OS CT CT OH 1 1.000 0.000 2.0 
OS CT CT OH 1 0.144 0.000 -3.0 
OS CT CT OS 1 1.000 0.000 2.0 
OS CT CT OS 1 0.144 0.000 -3.0 
OS CT N_ CK 1 2.500 0.000 1.0 
OS CT N_ CK 1 0.500 180.0 -2.0 
OS P  OS CT 1 1.200 0.000 2.0 
OS P  OS CT 1 0.250 0.000 -3.0 
OS CT N_ CM 1 2.500 0.000 1.0
OS CT N_ CM 1 0.500 180.0 -2.0
******************************************************************************************















